228737;Adobe Substance 3D Painter USD File Parser information disclosure
228736;Adobe Substance 3D Painter USD File Parser out-of-bounds
228735;Adobe Substance 3D Painter PLY File Parser out-of-bounds
228734;Adobe Substance 3D Painter GLTF File Parser information disclosure
228733;Adobe Substance 3D Painter USD File Parser out-of-bounds
228732;Adobe Substance 3D Painter USDC File Parser out-of-bounds
228731;Adobe Substance 3D Painter USDC File Parser out-of-bounds
228730;Adobe Substance 3D Painter USD File Parser stack-based overflow
228729;Adobe Substance 3D Painter USD File Parser out-of-bounds
228728;Adobe Substance 3D Painter USD File Parser out-of-bounds
228727;Adobe Substance 3D Painter USD File Parser out-of-bounds write
228726;Adobe Substance 3D Painter USD File Parser heap-based overflow
228725;Adobe Substance 3D Painter USD File Parser out-of-bounds write
228724;Adobe Substance 3D Painter USD File Parser out-of-bounds write
228708;Intel NUC BIOS Firmware denial of service
228707;Intel Unite Plugin SDK up to 4.1 uncontrolled search path
228701;Intel NUC BIOS Firmware access control
228700;Intel EMA Software denial of service
228699;Intel DCM Software up to 5.0 uncontrolled search path
228698;Intel SCS denial of service
228696;Intel DCM Software up to 5.0.0 unknown vulnerability
228695;Intel SUR Software access control
228694;Intel NUC Pro Software Suite uncontrolled search path
228693;Intel NUC Pro Software Suite path traversal
228691;in-toto up to 1.4.0 in_totorc unknown vulnerability
228690;Intel Processor BIOS Firmware input validation
228689;Intel NUC Pro Software Suite access control
228688;Intel BIOS Firmware input validation
228687;Intel VROC null pointer dereference
228686;Intel VROC use after free
228685;Intel NUC BIOS Firmware input validation
228684;Intel VROC default permission
228681;Intel Pathfinder on RISC-V uncontrolled search path
228680;Intel VROC denial of service
228679;Intel MacCPUID up to 3.1 uncontrolled search path
228673;Intel IPP Cryptography software information disclosure
228671;Intel NUC BIOS Firmware information disclosure
228668;pimcore customer-data-framework up to 3.3.8 csv injection
228648;Tenda CP3 11.10.00.2211041355 UART information disclosure
228647;Intel NUC P14E Laptop Element on Win10 default permission
228645;Intel Trace Analyzer and Collector out-of-bounds write
228644;Intel Trace Analyzer and Collector stack-based overflow
228643;Intel Trace Analyzer and Collector stack-based overflow
228641;Intel NUC Pro Software Suite insecure inherited permissions
228640;Intel DCM Software up to 5.0 insecure storage of sensitive information
228639;Intel oneAPI Toolkit and Component Software Installer uncontrolled search path
228638;Intel DCM Software up to 5.0 insecure storage of sensitive information
228637;Intel DSP Builder Software Installer uncontrolled search path
228636;Intel VTune Profiler Software uncontrolled search path
228634;Intel Quartus Prime Pro Edition Software uncontrolled search path
228632;Intel VTune Profiler Software insecure inherited permissions
228631;Intel Element software for Windows 10 on Win10 HotKey Services uncontrolled search path
228630;Intel EMA Configuration Tool/MC improper authorization
228629;Intel NUC P14E Laptop Element Software on Win10 insecure inherited permissions
228627;Intel NUC Pro Software Suite default permission
228626;Intel FPGA Products input validation
228625;Intel NUC Studio Service Installer insecure inherited permissions
228624;Intel NUC Chaco Canyon BIOS Update Software on Windows uncontrolled search path
228623;Intel NUC 11 Compute Element/NUC 12 Compute Element input validation
228621;Intel Unite Client Software on Windows default permission
228615;Intel OFU Kernel Mode Driver access control
228614;Intel OFU Kernel Mode Driver access control
228613;Intel Trace Analyzer and Collector null pointer dereference
228608;Intel Trace Analyzer and Collector out-of-bounds
228607;Intel IPP Cryptography Control Flow Management information disclosure
228606;Intel IPP Cryptography Control Flow Management information disclosure
228604;Intel NUC Kits BIOS Firmware input validation
228594;Intel Open CAS on Linux server log file
228593;Intel WULT uncontrolled search path
228587;Indel SCS Add-on Software Installer permission
228567;Shinseiyo Sogo Soft up to 7.9A XML xml external entity reference
228563;CX-Drive up to 3.01 SDD File heap-based overflow
228529;AMD EPYC TEE input validation
228528;AMD EPYC ABL memory corruption
228493;Cesanta MJS 1.26 mjs.c mjs_execute denial of service
228492;Cesanta MJS 1.26 mjs.c mjs_mk_string denial of service
228474;Microsoft SysInternals Sysmon on Windows unknown vulnerability
228473;Microsoft AV1 Video Extension unknown vulnerability
228472;Microsoft AV1 Video Extension unknown vulnerability
228413;Siemens Solid Edge SE2023 STP File memory corruption
228411;Siemens SCALANCE LPE9403 up to 2.0 SSH Interface path traversal
228408;Siemens SCALANCE LPE9403 up to 2.0 i2c Mutex File temp file
228407;Siemens Solid Edge SE2023 OBJ File out-of-bounds
228375;Unisoc S8000 Modem Control Device out-of-bounds write
228374;Unisoc S8000 powerEx service permission
228373;Unisoc S8000 apipe driver out-of-bounds write
228372;Unisoc S8000 apipe driver denial of service
228371;Unisoc S8000 cp_dump Driver out-of-bounds write
228370;Unisoc S8000 srtd service permission
228369;Unisoc S8000 srtd service permission
228368;Unisoc S8000 Log Service out-of-bounds write
228367;Unisoc S8000 Modem Control Device out-of-bounds write
228366;Unisoc S8000 Modem Control Device out-of-bounds write
228365;Unisoc S8000 Dialer Service denial of service
228364;Unisoc S8000 Engineermode Services denial of service
228363;Unisoc S8000 Dialer Service denial of service
228362;Unisoc S8000 Dialer Service denial of service
228361;Unisoc S8000 contacts service authorization
228360;Unisoc S8000 tee service out-of-bounds write
228359;Unisoc S8000 tee service out-of-bounds write
228358;Unisoc S8000 bootcp service out-of-bounds write
228357;Unisoc S8000 Audio Service permission
228356;Unisoc S8000 Audio Service permission
228355;Unisoc S8000 Audio Service permission
228354;Unisoc S8000 Audio Service permission
228353;Unisoc S8000 Audio Service permission
228352;Unisoc S8000 Audio Service permission
228351;Unisoc S8000 Audio Service permission
228350;Unisoc S8000 Audio Service permission
228349;Unisoc S8000 Audio Service permission
228348;Unisoc S8000 Audio Service permission
228347;Unisoc S8000 Telephony Service null pointer dereference
228346;Unisoc S8000 Camera Driver out-of-bounds write
228345;Unisoc S8000 Camera Driver out-of-bounds write
228344;Unisoc S8000 Image Filter out-of-bounds write
228343;Unisoc S8000 Image Filter out-of-bounds write
228342;Unisoc S8000 MP3 Encoder out-of-bounds
228341;Unisoc S8000 MP3 Encoder out-of-bounds write
228340;Unisoc S8000 FM Service stack-based overflow
228339;Unisoc S8000 FM Service stack-based overflow
228338;Unisoc S8000 FM Service stack-based overflow
228337;Unisoc S8000 soter service denial of service
228336;Unisoc S8000 soter service out-of-bounds write
228335;Unisoc S8000 soter service out-of-bounds write
228334;Unisoc S8000 soter service out-of-bounds write
228333;Unisoc S8000 soter service out-of-bounds write
228332;Unisoc S8000 soter service out-of-bounds write
228331;Unisoc S8000 soter service out-of-bounds write
228330;Unisoc S8000 soter service denial of service
228329;Unsioc S8000 soter Service denial of service
228328;Unisoc S8000 soter Service out-of-bounds write
228327;Unisoc S8000 soter Service denial of service
228326;Unisoc S8000 soter Service out-of-bounds write
228325;Unisoc S8000 spipe Drive out-of-bounds write
228324;Unisoc S8000 ext4fsfilter Driver out-of-bounds
228323;Unisoc S8000 Modem Control Device out-of-bounds write
228322;Unisoc S8000 ext4fsfilter Driver out-of-bounds
228321;Unisoc S8000 ext4fsfilter Driver out-of-bounds write
228319;Unisoc S8000 phasecheck Server out-of-bounds
228318;Unisoc S8000 phoneEx Service authorization
228315;Unisoc S8000 mlog Service out-of-bounds
228313;Unisoc S8000 Bluetooth Service resource consumption
228312;Unisoc S8000 Dialer Service information disclosure
228311;Unisoc S8000 Dialer Service information disclosure
228310;Unisoc S8000 Telephony Service information disclosure
228289;Unisoc S8000 Thermal Service out-of-bounds write
228284;SAP SAP_APPL up to 618 improper authorization
228264;Samsung Exynos 1080 Network Interface unknown vulnerability
228236;Fluid up to 0.8.5 fluid-csi authorization
228149;Albo Pretorio Online Plugin up to 4.6.3 on WordPress cross site scripting
228148;Library Viewer Plugin up to 2.0.6 on WordPress Shortcode cross site scripting
228147;WPPizza Plugin up to 3.17.1 on WordPress cross site scripting
228146;TP Education Plugin up to 4.4 on WordPress Shortcode cross site scripting
228145;Albo Pretorio Online Plugin up to 4.6.3 on WordPress cross site scripting
228144;UserAgent-Spy Plugin up to 1.3.1 on WordPress Setting cross site scripting
228143;Ays Photo Gallery plugin up to 5.1.3 on WordPress ays_gpg_settings_tab cross site scripting
228142;Participants Database Plugin up to 2.4.9 on WordPress _process_general cross-site request forgery
228141;JupiterX Theme Plugin up to 3.0.0 on WordPress print_pane file inclusion
228140;FV Flowplayer Video Player Plugin up to 7.5.32.7212 on WordPress cross site scripting
228139;WOLF Plugin up to 1.0.6 on WordPress wpbe_update_page_field cross site scripting
228138;Library Viewer Plugin up to 2.0.6 on WordPress redirect
228137;TOTOLINK A7100RU 7.4cu.2313_B20191024 command injection
228136;Beijing Netcon NS-ASG Application Security Gateway 6.3 TunnelId sql injection
228135;llvm-project a0138390 LLVMVoidType memory corruption
228134;llvm-project a0138390 TargetEnvAttr) memory corruption
228133;llvm-project bd456297 mlir::Block::getArgument memory corruption
